date,campaign_name,mktng_pgm_nbr,sendout,delivered,people,unique_delivered,openers,clickers,clicked_or_opened,all_opens,all_clicks
2021-12-31,Newsletter_prenatal_WithApp,US,152694,151834,153433,151834,38522,2726,38601,45520,3554
2021-12-31,Newsletter_postnatal_NohApp,US,61709,61371,61753,61371,13775,1242,13854,16808,1614
2021-12-31,Hello_Email_postnatall_NoApp,US,0,0,4,0,4,0,4,4,0
2021-12-31,Newsletter_postnatal_NoApp,US,103974,103210,104423,103210,20948,1323,21108,24391,1885
2021-12-31,Hello_Email_prenatal_NoApp,US,0,0,20,0,20,1,20,26,1
2021-12-31,Hello_Email_prenatal_WithApp,US,0,0,1,0,1,0,1,1,0
2021-12-31,,US,353,342,522,342,339,80,342,466,98
2021-12-31,Hello_Email_postnatal_WithApp,US,0,0,12,0,12,0,12,18,0
2021-12-30,Newsletter_postnatal_NoApp,US,0,0,719,0,714,24,716,917,39
2021-12-30,,US,392,376,588,376,401,105,407,560,123
2021-12-30,Hello_Email_postnatal_WithApp,US,0,0,13,0,13,0,13,14,0
2021-12-30,Newsletter_prenatal_WithApp,USA,0,0,1316,0,1318,44,1318,1703,56
2021-12-30,Hello_Email_prenatal_NoApp,US,0,0,18,0,18,0,18,20,0
2021-12-30,Hello_Email_postnatall_NoApp,US,0,0,5,0,5,0,5,6,0
2021-12-30,Newsletter_postnatal_NohApp,US,0,0,442,0,440,25,441,640,30
2021-12-29,Newsletter_prenatal_WithApp,US,0,0,1527,0,1529,49,1535,1988,55
2021-12-29,Hello_Email_postnatall_NoApp,US,0,0,6,0,5,0,5,5,0
2021-12-29,Hello_Email_postnatal_WithApp,US,0,0,19,0,19,0,19,22,0
2021-12-29,Newsletter_postnatal_NoApp,US,0,0,967,0,964,39,967,1166,48
2021-12-29,Newsletter_postnatal_NohApp,US,0,0,543,0,540,28,540,788,34
2021-12-29,Hello_Email_prenatal_WithApp,US,0,0,1,0,1,0,1,1,0
2021-12-29,,US,435,411,629,411,431,119,435,576,143
2021-12-29,Hello_Email_prenatal_NoApp,US,0,0,12,0,12,0,12,17,0
2021-12-28,Hello_Email_postnatall_NoApp,US,0,0,5,0,5,0,5,6,0
2021-12-28,Newsletter_prenatal_WithApp,usa,0,0,2150,0,2145,92,2154,2769,123
2021-12-28,Hello_Email_prenatal_NoApp,US,0,0,25,0,24,2,25,27,3
2021-12-28,Newsletter_postnatal_NoApp,US,0,0,1259,0,1252,75,1257,1581,88
2021-12-28,Hello_Email_postnatal_WithApp,US,0,0,15,0,15,0,15,16,0
2021-12-28,,US,399,378,580,378,386,105,392,614,127
2021-12-28,Newsletter_postnatal_NohApp,US,0,0,777,0,774,63,776,1109,80
2021-12-27,Hello_Email_postnatall_NoApp,US,0,0,5,0,5,0,5,5,0
2021-12-27,Newsletter_prenatal_WithApp,US,0,0,5231,0,3329,138,3347,4049,183
2021-12-27,Hello_Email_postnatal_WithApp,US,0,0,21,0,21,0,21,24,0
2021-12-27,Hello_Email_prenatal_NoApp,US,0,0,18,0,18,0,18,26,0
2021-12-27,Newsletter_postnatal_NoApp,US,0,0,1858,0,1836,111,1847,2226,138
2021-12-27,Newsletter_postnatal_NohApp,US,0,0,1178,0,1162,98,1175,1546,119
2021-12-27,,US,386,366,560,366,363,85,365,500,94
2021-12-26,Hello_Email_postnatall_NoApp,US,0,0,6,0,5,0,5,5,0
2021-12-26,Newsletter_prenatal_WithApp,US,0,0,9553,0,5011,211,5040,5909,273
2021-12-26,Newsletter_postnatal_NohApp,US,0,0,1849,0,1830,124,1843,2284,164
2021-12-26,,US,270,255,393,255,258,61,261,386,72
2021-12-26,Hello_Email_postnatal_WithApp,US,0,0,12,0,12,0,12,13,0
2021-12-26,Hello_Email_prenatal_NoApp,US,0,0,9,0,9,0,9,14,0
2021-12-26,Newsletter_postnatal_NoApp,US,0,0,2750,0,2712,121,2729,3121,149
2021-12-25,Hello_Email_postnatall_NoApp,US,0,0,3,0,3,0,3,3,0
2021-12-25,Newsletter_prenatal_WithApp,US,23,23,23832,23,21199,393,21247,23009,486
2021-12-25,Newsletter_postnatal_NohApp,US,1,1,7099,1,7060,282,7097,7995,376
2021-12-25,Hello_Email_prenatal_NoApp,US,0,0,13,0,13,0,13,14,0
2021-12-25,Hello_Email_postnatal_WithApp,US,0,0,9,0,9,0,9,9,0
2021-12-25,,US,128,123,253,123,184,36,187,259,40
2021-12-25,Newsletter_postnatal_NoApp,US,12,12,10341,12,10284,193,10314,11207,235
2021-12-24,Newsletter_prenatal_WithApp,US,155583,154733,156147,154733,34221,1990,34273,40085,2451
2021-12-24,Hello_Email_postnatal_WithApp,US,0,0,15,0,15,0,15,18,0
2021-12-24,Hello_Email_prenatal_NoApp,US,0,0,16,0,16,0,16,17,0
2021-12-24,Hello_Email_postnatall_NoApp,US,0,0,1,0,1,0,1,1,0
2021-12-24,Newsletter_postnatal_NoApp,US,105023,104257,105373,104257,18086,1038,18249,20973,1571
2021-12-24,,US,242,232,390,232,272,63,275,377,75
2021-12-24,Newsletter_postnatal_NohApp,US,61297,60966,61337,60966,12156,1003,12250,14543,1291
2021-12-23,Newsletter_prenatal_WithApp,US,0,0,995,0,1001,31,1003,1282,42
2021-12-23,,US,344,331,538,331,377,72,380,518,90
2021-12-23,Newsletter_postnatal_NoApp,US,0,0,587,0,583,13,585,719,14
2021-12-23,Hello_Email_prenatal_NoApp,US,0,0,17,0,17,2,17,20,3
2021-12-23,Hello_Email_postnatall_NoApp,US,0,0,3,0,3,0,3,3,0
2021-12-23,Newsletter_postnatal_NohApp,US,0,0,330,0,327,16,330,482,23
2021-12-23,Hello_Email_postnatal_WithApp,US,0,0,18,0,18,0,18,20,0
2021-12-22,Newsletter_prenatal_WithApp,US,0,0,1310,0,1316,47,1318,1679,63
2021-12-22,Hello_Email_postnatal_WithApp,US,0,0,18,0,18,0,18,25,0
2021-12-22,Newsletter_postnatal_NoApp,US,0,0,783,0,783,29,783,970,37
2021-12-22,Hello_Email_postnatall_NoApp,US,0,0,8,0,8,0,8,8,0
2021-12-22,,US,383,368,587,368,406,87,408,580,100
2021-12-22,Hello_Email_prenatal_NoApp,US,0,0,21,0,21,0,21,23,0
2021-12-22,Newsletter_postnatal_NohApp,US,0,0,427,0,427,26,427,651,36
2021-12-21,Hello_Email_prenatal_NoApp,US,0,0,26,0,25,1,26,32,1
2021-12-21,Hello_Email_postnatall_NoApp,US,0,0,8,0,8,0,8,8,0
2021-12-21,Hello_Email_postnatal_WithApp,US,0,0,17,0,17,1,17,22,1
2021-12-21,Newsletter_postnatal_NoApp,US,0,0,991,0,987,24,990,1171,28
2021-12-21,Newsletter_prenatal_WithApp,US,0,0,1720,0,1714,72,1718,2150,89
2021-12-21,,US,463,444,677,444,440,114,445,646,142
2021-12-21,Newsletter_postnatal_NohApp,US,0,0,586,0,582,35,585,824,45
2021-12-20,,US,576,549,774,549,487,147,493,687,171
2021-12-20,Hello_Email_postnatall_NoApp,US,0,0,5,0,5,0,5,5,0
2021-12-20,Newsletter_prenatal_WithApp,US,0,0,4401,0,2556,95,2561,3093,131
2021-12-20,Hello_Email_prenatal_NoApp,US,0,0,22,0,22,4,22,26,4
2021-12-20,Newsletter_postnatal_NoApp,US,0,0,1477,0,1429,57,1431,1714,78
2021-12-20,Newsletter_postnatal_NohApp,US,0,0,985,0,974,75,983,1380,106
2021-12-20,Hello_Email_postnatal_WithApp,US,0,0,15,0,15,0,15,18,0
2021-12-19,,US,545,518,696,518,424,121,428,625,153
2021-12-19,Hello_Email_prenatal_NoApp,US,0,0,20,0,20,2,20,30,3
2021-12-19,Hello_Email_postnatall_NoApp,US,0,0,4,0,4,0,4,4,0
2021-12-19,Newsletter_postnatal_NoApp,US,0,0,2191,0,2142,93,2151,2483,117
2021-12-19,Newsletter_postnatal_NohApp,US,0,0,1541,0,1517,103,1529,1908,125
2021-12-19,Hello_Email_postnatal_WithApp,US,0,0,15,0,15,0,15,17,0
2021-12-19,Newsletter_prenatal_WithApp,US,0,0,8491,0,3961,153,3982,4669,195
2021-12-18,Hello_Email_postnatal_WithApp,US,0,0,19,0,19,0,19,22,0
2021-12-18,Hello_Email_postnatall_NoApp,US,0,0,7,0,7,1,7,7,1
2021-12-18,,US,426,406,571,406,353,96,358,461,115
2021-12-18,Hello_Email_prenatal_NoApp,US,0,0,21,0,21,0,21,25,0
2021-12-18,Newsletter_postnatal_NohApp,US,2,2,6798,2,6768,290,6791,7723,388
2021-12-18,Newsletter_postnatal_NoApp,US,10,12,9947,12,9906,220,9920,10826,305
2021-12-18,Newsletter_prenatal_WithApp,US,18,18,26015,18,20670,519,20723,22654,680
2021-12-17,Hello_Email_prenatal_NoApp,US,0,0,31,0,30,1,30,46,1
2021-12-17,Newsletter_postnatal_NohApp,US,60443,60131,60495,60131,12340,1098,12431,15370,1457
2021-12-17,Hello_Email_postnatall_NoApp,US,0,0,3,0,3,0,3,3,0
2021-12-17,Hello_Email_postnatal_WithApp,US,0,0,16,0,16,0,16,18,0
2021-12-17,Newsletter_prenatal_WithApp,US,155966,155174,156604,155174,35309,2391,35388,42714,3135
2021-12-17,,US,396,384,583,384,408,105,411,546,116
2021-12-17,Newsletter_postnatal_NoApp,USA,104081,103372,104451,103372,18905,1160,19053,22612,1689
2021-12-16,Newsletter_postnatal_NoApp,US,0,0,589,0,589,21,589,815,24
2021-12-16,Newsletter_postnatal_NohApp,US,0,0,367,0,365,17,367,598,30
2021-12-16,Hello_Email_prenatal_NoApp,US,0,0,13,0,13,0,13,19,0
2021-12-16,,US,461,446,671,446,484,116,487,679,139
2021-12-16,Newsletter_prenatal_WithApp,US,0,0,1117,0,1117,37,1117,1459,44
2021-12-16,Hello_Email_postnatall_NoApp,US,0,0,6,0,6,0,6,6,0
2021-12-16,Hello_Email_postnatal_WithApp,USA,0,0,23,0,23,0,23,27,0
2021-12-15,Hello_Email_postnatal_WithApp,US,0,0,30,0,30,0,30,33,0
2021-12-15,Newsletter_postnatal_NoApp,US,0,0,715,0,714,27,714,916,35
2021-12-15,Newsletter_postnatal_NohApp,US,0,0,430,0,427,32,430,649,37
2021-12-15,Hello_Email_postnatall_NoApp,US,0,0,4,0,4,0,4,5,0
2021-12-15,Hello_Email_prenatal_NoApp,US,0,0,24,0,24,0,24,29,0
2021-12-15,,US,478,456,670,456,454,117,458,677,142
2021-12-15,Newsletter_prenatal_WithApp,US,0,0,1335,0,1341,39,1343,1758,46
2021-12-14,Hello_Email_postnatal_WithApp,US,0,0,19,0,19,2,19,25,2
2021-12-14,Hello_Email_postnatall_NoApp,US,0,0,8,0,8,0,8,8,0
2021-12-14,Hello_Email_prenatal_NoApp,US,0,0,28,0,27,0,27,38,0
2021-12-14,,US,477,451,681,451,445,103,452,642,124
2021-12-14,Newsletter_prenatal_WithApp,US,0,0,1710,0,1705,76,1712,2201,108
